name,description,price,sku,imageUrls,brand
NR2-93 63-80A Rele De Sobrecarga Termico Reg. 63-80A 1Na+1Nc P/Cont. Nc1,NR2-93 63-80A Rele De Sobrecarga Termico Reg. 63-80A 1Na+1Nc P/Cont. Nc1,65.99,"Código: 268150
CHINT
Ref./Fab: NR2-93 63-80A
Cant.Disponible: 51
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 65.99",https://store.grupocoinp.com/web/image/product.product/213/image_1024/%5BNR2-93%2063-80A%5D%20Rele%20De%20Sobrecarga%20Termico%20Reg.%2063-80A%20%201Na+1Nc%20P-Cont.%20Nc1?unique=38348b6,chint-103
NXB-63 3P C32 Int. Aut. Termomagnetico P/Riel 3P 32A 230Vac 6Ka Curva C,NXB-63 3P C32 Int. Aut. Termomagnetico P/Riel 3P 32A 230Vac 6Ka Curva C,23.1,"Código: 814173
CHINT
Ref./Fab: NXB-63 3P C32
Cant.Disponible: 209
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 23.10",https://store.grupocoinp.com/web/image/product.product/2512/image_1024/%5BNXB-63%203P%20C32%5D%20Int.%20Aut.%20Termomagnetico%20P-Riel%203P%2032A%20230Vac%206Ka%20Curva%20C?unique=318cc14,chint-103
"XMTG-4201 J Type Pirometro Xmtg-4201, J Type, 48Cm X 48Cm","XMTG-4201 J Type Pirometro Xmtg-4201, J Type, 48Cm X 48Cm",148.73,"Código: 759004
CHINT
Ref./Fab: XMTG-4201 J Type
Cant.Disponible: Consultar
Unid.Med: UNIDAD
Precio Inc. IGV: S/ 148.73",https://store.grupocoinp.com/web/image/product.product/36/image_1024/%5BXMTG-4201%20J%20Type%20%5D%20Pirometro%20Xmtg-4201%2C%20J%20Type%2C%2048Cm%20X%2048Cm?unique=294c391,chint-103
NR2-93 55-70A Rele De Sobrecarga Termico Reg. 55-70A 1Na+1Nc P/Cont. Nc1,NR2-93 55-70A Rele De Sobrecarga Termico Reg. 55-70A 1Na+1Nc P/Cont. Nc1,65.99,"Código: 268149
CHINT
Ref./Fab: NR2-93 55-70A
Cant.Disponible: 47
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 65.99",https://store.grupocoinp.com/web/image/product.product/43/image_1024/%5BNR2-93%2055-70A%5D%20Rele%20De%20Sobrecarga%20Termico%20Reg.%2055-70A%20%201Na+1Nc%20P-Cont.%20Nc1?unique=720ccc6,chint-103
NM1-125 MRP Mando Rotativo Prolongado P/ Nm1-125,NM1-125 MRP Mando Rotativo Prolongado P/ Nm1-125,52.68,"Código: 132357
CHINT
Ref./Fab: NM1-125 MRP
Cant.Disponible: Consultar
Unid.Med: UNIDAD
Precio Inc. IGV: S/ 52.68",https://store.grupocoinp.com/web/image/product.product/76/image_1024/%5BNM1-125%20MRP%5D%20Mando%20Rotativo%20Prolongado%20P-%20Nm1-125?unique=ca35454,chint-103
NM1-125S/H/R RA Rele Apertura 230Vac P/Int. Nm1-125,NM1-125S/H/R RA Rele Apertura 230Vac P/Int. Nm1-125,29.62,"Código: 132431
CHINT
Ref./Fab: NM1-125S/H/R RA
Cant.Disponible: 2
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 29.62",https://store.grupocoinp.com/web/image/product.product/77/image_1024/%5BNM1-125S-H-R%20RA%5D%20Rele%20Apertura%20230Vac%20P-Int.%20Nm1-125?unique=5402b53,chint-103
NM1-400S/H/R AX Block Contacto Auxiliar Lateral P/Int. Nm1-400 2Co,NM1-400S/H/R AX Block Contacto Auxiliar Lateral P/Int. Nm1-400 2Co,28.7,"Código: 132391
CHINT
Ref./Fab: NM1-400S/H/R AX
Cant.Disponible: 1
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 28.70",https://store.grupocoinp.com/web/image/product.product/78/image_1024/%5BNM1-400S-H-R%20AX%5D%20Block%20Contacto%20Auxiliar%20Lateral%20%20P-Int.%20Nm1-400%202Co?unique=50d79b1,chint-103
NM1-400S/H/R RA Rele Apertura 230Vac P/Int. Nm1-400,NM1-400S/H/R RA Rele Apertura 230Vac P/Int. Nm1-400,74.41,"Código: 132419
CHINT
Ref./Fab: NM1-400S/H/R RA
Cant.Disponible: Consultar
Unid.Med: UNIDAD
Precio Inc. IGV: S/ 74.41",https://store.grupocoinp.com/web/image/product.product/79/image_1024/%5BNM1-400S-H-R%20RA%5D%20Rele%20Apertura%20230Vac%20P-Int.%20Nm1-400?unique=a834a79,chint-103
"CZF11A-E Base De Rele Enchufable 11 Pines P/ Rele Jqx-10F/3Z, Jmk3P-I","CZF11A-E Base De Rele Enchufable 11 Pines P/ Rele Jqx-10F/3Z, Jmk3P-I",2.66,"Código: 146143
CHINT
Ref./Fab: CZF11A-E
Cant.Disponible: 130
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 2.66",https://store.grupocoinp.com/web/image/product.product/196/image_1024/%5BCZF11A-E%5D%20Base%20De%20Rele%20Enchufable%2011%20Pines%20P-%20Rele%20Jqx-10F-3Z%2C%20Jmk3P-I?unique=02063e2,chint-103
"CZF11A-UL Base De Rele Enchufable 11 Pines Para Rele C3, 10A/250V","CZF11A-UL Base De Rele Enchufable 11 Pines Para Rele C3, 10A/250V",5.39,"Código: 1000584
CHINT
Ref./Fab: CZF11A-UL
Cant.Disponible: Consultar
Unid.Med: UNIDAD
Precio Inc. IGV: S/ 5.39",https://store.grupocoinp.com/web/image/product.product/197/image_1024/%5BCZF11A-UL%5D%20Base%20De%20Rele%20Enchufable%2011%20Pines%20Para%20%20Rele%20C3%2C%2010A-250V?unique=434a41a,chint-103
"CZY08A-E Base De Rele Enchufable 8 Pines Para Rele C9, 8A/250V","CZY08A-E Base De Rele Enchufable 8 Pines Para Rele C9, 8A/250V",6.81,"Código: 285960
CHINT
Ref./Fab: CZY08A-E
Cant.Disponible: 368
Unid.Med: UNIDAD Ver Stock Por Local
Precio Inc. IGV: S/ 6.81",https://store.grupocoinp.com/web/image/product.product/198/image_1024/%5BCZY08A-E%5D%20Base%20De%20Rele%20Enchufable%208%20Pines%20Para%20%20Rele%20C9%2C%208A-250V?unique=5ded8a7,chint-103
